"PlatesH2v2.mid.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
31.2785,35.2916,4429.05,3310.07,262.973,4710.5,338
93.8355,90.1257,3795.95,3316.74,263.806,6066,339
735.045,392.002,2189.28,3565.47,266.883,3624.09,340
62.557,63.3781,4192.73,3600.16,262.973,6310.75,341
125.114,103.047,676.664,3493.88,265.473,5108.75,342
93.8355,86.8048,1759.08,3293.82,270.892,5661,343
109.475,101.959,3894.25,3300.07,270.296,6293,344
125.114,112.536,4547.22,3508.89,273.601,4179.5,345
218.95,161.515,2322.16,3197.54,277.441,3987.29,346
172.032,135.763,4332.89,3536.51,276.5,4595.18,347
1954.91,759.197,587.127,3561.81,281.068,3341.73,348
78.1963,78.2303,2573.99,3542.65,281.228,5659.2,349
31.2785,35.2916,3753.85,3272.56,282.979,6856,350
31.2785,35.2916,1598.19,3335.08,282.979,6601.5,351
125.114,112.244,3887.01,3298.2,289.543,5069.5,352
62.557,64.3535,4219.62,3395.73,288.605,5373.5,353
46.9178,50.4766,4505.74,3222.55,292.565,6506.33,354
78.1963,76.2385,3745.85,3264.06,292.732,6771.4,355
31.2785,35.281,961.75,3292.57,291.731,7184.5,356
78.1963,76.2385,1381.63,3437.11,293.232,6188.6,357
62.557,63.3573,2639.76,3361.34,294.232,5754.25,358
187.671,150.918,2869.62,3468.25,297.983,3810.67,359
359.703,263.866,1898.5,3366.94,299.777,4495.52,360
93.8355,91.3824,2871.08,3435.11,297.983,5865.67,361
62.557,63.3781,4067.69,3480.13,297.983,6886,362
125.114,108.944,2004.25,3239.12,302.36,4598.38,363
15.6393,18.7876,3378.74,3305.07,299.234,6729,364
15.6393,18.7876,2388.43,3350.09,301.734,7300,365
46.9178,50.4766,3634.65,3580.16,303.402,5140,366
125.114,113.542,2821.07,3289.76,308.612,5505,367
46.9178,50.4662,2767.72,3441.78,309.237,6436.67,368
218.95,161.515,1704.48,3275.06,314.953,3872.14,369
46.9178,50.4662,884.644,3531.81,311.737,5963,370
15.6393,18.7876,1515.67,3232.55,314.238,5456,371
140.753,115.918,2987.51,3376.48,317.573,4792.89,372
31.2785,35.281,2944.85,3507.63,314.238,7313.5,373
15.6393,18.7876,2015.82,3215.05,316.739,6549,374
985.273,474.298,1575.01,3515.53,321.939,3614.27,375
234.589,176.638,3450.42,3274.9,325.408,4596.07,376
234.589,172.041,3483.77,3346.09,322.908,7248.53,377
140.753,119.521,2477.07,3606.83,323.963,4315.44,378
218.95,166.164,3052.39,3285.78,327.099,4396.64,379
93.8355,86.8048,4367.79,3681.02,325.908,5564.17,380
78.1963,78.5223,1609.2,3520.14,328.743,5986.2,381
15.6393,18.7876,687.917,3562.65,326.742,6169,382
312.785,214.285,4556.59,3584.78,330.368,4521.1,383
203.31,156.835,4291.9,3198.31,331.936,5279,384
265.867,188.252,4353.44,3375.98,331.891,4367.47,385
62.557,64.6454,4485.32,3454.49,332.369,6157.25,386
344.064,223.324,865.812,3625.51,334.472,4459.73,387
46.9178,50.4662,2621.84,3390.93,334.244,6361.67,388
422.26,270.366,2989.36,3640.45,338.505,3898.26,389
281.507,203.125,3530.45,3678.38,339.802,3815.17,390
719.406,386.799,1079.12,3376.78,345.715,3905.85,391
15.6393,18.7876,4163.97,3520.14,339.246,7475,392
62.557,64.3535,1850.15,3524.52,339.871,6161.25,393
15.6393,18.7876,562.879,3577.66,339.246,6852,394
328.424,221.219,3641.31,3472.62,344.843,4517.38,395
93.8355,89.0989,3972.67,3480.13,342.997,5135.17,396
938.355,482.944,2002.94,3629.59,350.124,3553.1,397
1000.91,479.531,3548.94,3213.25,349.913,3809.73,398
46.9178,50.4662,2602.67,3330.91,344.247,5265.33,399
172.032,142.906,1371.08,3230.51,349.249,5145.36,400
2361.53,845.875,799.474,3279.97,356.072,2733.64,401
312.785,208.128,1232.58,3623.17,352.25,2649.3,402
187.671,149.558,2861.29,3438.66,354.459,5255.5,403
390.981,252.918,4021.53,3673.79,356.051,4659.84,404
156.393,127.47,1952.3,3224.3,356.001,4471.8,405
2252.05,1086.32,1069.58,3370.16,365.608,3918.85,406
406.621,255.696,3998.63,3322.96,359.637,3361.65,407
125.114,112.588,2484.09,3596.1,362.065,5007.5,408
3847.26,1359.7,3491.98,3562.3,369.224,8786.9,409
156.393,130.056,4316.02,3596.16,364.003,4484.3,410
31.2785,35.2916,3088.65,3295.07,365.504,6446,411
1767.24,865.961,3533.63,3192.16,376.27,3829.58,412
31.2785,35.281,1048.03,3368.84,366.754,7163,413
406.621,261.843,2704.59,3517.25,371.082,3759.23,414
78.1963,76.2385,1805.26,3191.04,370.755,6234.6,415
250.228,180.303,803.577,3625.33,372.537,4077.44,416
15.6393,18.7876,1705.73,3225.05,371.756,6914,417
15.6393,18.7876,2255.89,3395.1,371.756,5870,418
328.424,218.643,2273.04,3420.82,375.924,3740.71,419
406.621,259.549,2580.9,3512.16,378.777,4304.58,420
1016.55,596.153,3493.62,3602.66,376.988,8667.05,421
156.393,133.367,1953.05,3590.66,379.008,4424.6,422
