"PlatesH3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
15.6393,18.7876,1863.89,3213.33,948.462,6356,428
328.424,248.258,4644.5,3081.86,955.369,5352.29,429
93.8355,86.8154,1490.45,3406.72,952.213,5119.17,430
46.9178,50.4662,1380.41,3216.66,953.463,5934,431
953.995,454.827,1995.41,3270.64,960.884,3802.26,432
1657.76,680.935,3635.87,3383.26,964.08,3014.81,433
78.1963,76.2385,2027.94,3043.78,959.965,5276.4,434
82778.6,9235.82,2563.37,3152.52,985.782,1976.05,435
125.114,108.934,2540.04,3056.41,962.529,5217.75,436
31.2785,35.281,1993.93,3464.66,960.966,5080.5,437
109.475,101.668,2721.3,3183.32,965.253,6080.29,438
62.557,64.3535,3427.49,3427.77,965.342,5657.5,439
62.557,64.3535,1588.18,3145.18,971.594,5342,440
453.538,279.717,2230.9,3472.37,976.056,2860.14,441
312.785,209.364,2684.02,3261.09,976.345,4917.9,442
15.6393,18.7876,4399.66,3388.38,973.469,6065,443
46.9178,50.4766,775.229,3418.39,974.303,6401.67,444
875.798,490.631,2574.47,3107.85,980.436,3069.39,445
62.557,64.3535,3900.14,3292.73,977.846,5243.25,446
15.6393,18.7876,3649.44,3318.36,975.97,6991,447
3534.47,1115.73,2941.62,3345.17,985.863,2167.03,448
15.6393,18.7876,4514.7,3350.87,978.471,6396,449
140.753,123.113,2637.46,3411.72,982.361,6602.67,450
31.2785,35.281,4370.91,3068.29,983.472,6362,451
15.6393,18.7876,4219.61,3108.3,983.472,7327,452
31.2785,35.281,1292.47,3313.36,983.472,6313.5,453
203.31,156.876,2919.79,3459.94,985.973,5264.92,454
78.1963,76.2385,3145.78,3057.78,986.974,5417.6,455
5677.05,1628.57,2897.59,3460.6,999.827,2494.59,456
140.753,123.113,2643.3,3528.43,988.474,4965,457
15.6393,18.7876,3997.04,3348.37,988.474,6993,458
46.9178,51.7546,2457.41,3069.12,992.642,6977.67,459
328.424,247.998,1815.78,3522.71,995.143,5277.81,460
